RegionID	regionName	stateName	averageHomePrice
394913	New York, NY	NY	675063.9760358510
753899	Los Angeles, CA	CA	950740.4945863190
394463	Chicago, IL	IL	322389.5161286550
394514	Dallas, TX	TX	368515.9005365310
394692	Houston, TX	TX	305480.0785019260
395209	Washington, DC	VA	568309.9850983820
394974	Philadelphia, PA	PA	361160.597201973
394856	Miami, FL	FL	483279.94669239000
394347	Atlanta, GA	GA	376332.6315497470
394404	Boston, MA	MA	688916.8606538230
394976	Phoenix, AZ	AZ	449463.9670647320
395057	San Francisco, CA	CA	1130060.820841990
395025	Riverside, CA	CA	582323.3643966970
394532	Detroit, MI	MI	247929.61535451500
395078	Seattle, WA	WA	734697.187033501
394865	Minneapolis, MN	MN	366468.0647505730
395056	San Diego, CA	CA	932489.8029943750
395148	Tampa, FL	FL	366459.65537530200
394530	Denver, CO	CO	578486.9499894120
394358	Baltimore, MD	MD	385119.2051341920
395121	St. Louis, MO	MO	249907.9231814220
394943	Orlando, FL	FL	389268.4019674760
394458	Charlotte, NC	NC	376959.40950687400
395055	San Antonio, TX	TX	279468.2878504280
394998	Portland, OR	OR	542011.3801259560
395045	Sacramento, CA	CA	574485.7684740520
394982	Pittsburgh, PA	PA	210162.36428695400
394466	Cincinnati, OH	OH	282645.11949847900
394355	Austin, TX	TX	440595.8490699750
394775	Las Vegas, NV	NV	429876.43719241500
394735	Kansas City, MO	MO	299274.11636019900
394492	Columbus, OH	OH	311242.185193135
394705	Indianapolis, IN	IN	273766.47866817300
394475	Cleveland, OH	OH	226309.7501477970
395059	San Jose, CA	CA	1611650.1144859300
394902	Nashville, TN	TN	441401.45753477600
395194	Virginia Beach, VA	VA	348869.0160687030
395005	Providence, RI	RI	478423.3484086630
394714	Jacksonville, FL	FL	348756.23378202
394862	Milwaukee, WI	WI	342652.0074861280
394935	Oklahoma City, OK	OK	230551.770312048
395012	Raleigh, NC	NC	436481.3529418500
394849	Memphis, TN	TN	232975.95020182900
395022	Richmond, VA	VA	369680.95296913700
394807	Louisville, KY	KY	257636.13832435600
394910	New Orleans, LA	LA	234155.032126645
395053	Salt Lake City, UT	UT	543732.8683765400
394669	Hartford, CT	CT	361342.01352188600
394425	Buffalo, NY	NY	254571.41618772400
394388	Birmingham, AL	AL	246962.26726392100
395031	Rochester, NY	NY	248016.7917851710
394640	Grand Rapids, MI	MI	323089.4140554610
395167	Tucson, AZ	AZ	345054.55791932600
753924	Urban Honolulu, HI	HI	846653.536496786
395169	Tulsa, OK	OK	233802.17379133400
394619	Fresno, CA	CA	396466.5512744960
395238	Worcester, MA	MA	449133.177443328
394938	Omaha, NE	NE	284108.60216965300
394415	Bridgeport, CT	CT	625640.4678322210
394653	Greenville, SC	SC	294400.64865483300
394312	Albuquerque, NM	NM	333705.8349569420
394357	Bakersfield, CA	CA	355361.73838130200
394308	Albany, NY	NY	328937.6876352800
394753	Knoxville, TN	TN	338997.92802375200
394367	Baton Rouge, LA	LA	233291.49349289200
394843	McAllen, TX	TX	186932.1220898590
394908	New Haven, CT	CT	367726.06194829500
394561	El Paso, TX	TX	219111.13443035900
394318	Allentown, PA	PA	334179.0660198600
394952	Oxnard, CA	CA	868707.7651382280
